year,tot_pop,pop_under_5,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_34,pop_35_44,pop_45_54,pop_55_59,pop_60_64,pop_65_74,pop_75_84,pop_above_84
2010,8184899,516859,469116,471194,533984,645622,1394302,1152004,1107550,475988,420934,534025,323537,139784
2011,8244910,534400,473915,467219,508178,643544,1423451,1151332,1109379,495114,426382,544766,323957,143273
2012,8336697,544369,476525,471011,498696,643802,1450056,1161456,1108238,493406,443050,572984,320241,152863
2013,8405837,555756,479102,466303,481367,634623,1478414,1170936,1112156,505267,447366,593249,325287,156011
2014,8491079,567142,492017,456957,473714,626933,1504601,1181189,1117471,521993,450669,612532,328189,157672
2015,8550405,569712,482350,471932,469766,608130,1526724,1186890,1118835,523518,465037,635453,337914,154144
2016,8537673,554789,500634,463078,467211,587163,1532884,1175080,1106176,512702,481986,654868,335419,165683
2017,8622698,552576,475122,482943,460028,575248,1551985,1179578,1100164,518681,490744,694522,372506,168601
2018,8398748,535068,452909,483949,444911,533166,1500032,1147148,1055874,517395,482816,699936,385177,160367
2019,8336817,521255,446888,481230,440134,518208,1483549,1138320,1027300,518117,480622,719886,390997,170311
2020,8804190,550477,471941,508208,464808,547259,1566718,1202135,1084891,547163,507566,760243,412916,179858